start,end,speaker,text,language,overlap_ratio,emotion,emotion_score
0.0,5.68,SPEAKER_00,"Hey, welcome kicks here. In this video I'm going to beat Minecraft, but I am in creative.",en,0.0,neu,0.9995
5.68,10.08,SPEAKER_00,"You might think this is way too easy, and you're right, but I have one rule.",en,0.0,neu,1.0
10.08,14.48,SPEAKER_00,"I can't spawn in any items that I don't have, so I can't just make a portal and fill it with",en,0.0,neu,1.0
14.48,19.84,SPEAKER_00,Ender Eyes. Instead I need to go to the Nether and kill at least one place and one Ender Man.,en,0.0,neu,1.0
19.84,23.92,SPEAKER_00,That way I have one eye of Ender and because I'm in creative that means I have infinite.,en,0.0,neu,1.0
23.92,28.0,SPEAKER_00,"I hope you understand the idea. Maybe it's not the most hard challenge, but I just want to see",en,0.0,neu,1.0
28.0,32.4,SPEAKER_00,"how easy it is. I hope you enjoyed the video. Because I think I don't need much for this challenge,",en,0.0,neu,1.0
32.4,36.16,SPEAKER_00,"I only take the Iron from the shipwreck. I know that there's a rune portal I'm going to,",en,0.0,neu,1.0
36.16,40.88,SPEAKER_00,there's a gold on sword with looting on it. That's perfect for killing the blaze and the Ender Man.,en,0.0,neu,1.0
40.88,45.12,SPEAKER_00,"When I have one rod and one pearl, I can get to the End portal. Along the you think this challenge",en,0.0,neu,1.0
45.12,48.88,SPEAKER_00,"is going to take me, let me know in the comments. And if you like this video, please like,",en,0.0,neu,1.0
48.88,53.44,SPEAKER_00,"subscribe, this helps me a lot, and it's completely free. If you want to see a real beating Minecraft",en,0.0,neu,1.0
53.52,57.68,SPEAKER_00,"video, these are normally uploaded on Sunday. I will put a playlist in the description.",en,0.0,neu,1.0
57.68,62.08,SPEAKER_00,"These are the challenge I made, beating Minecraft without grafting, beating Minecraft without",en,0.0,neu,1.0
62.08,68.0,SPEAKER_00,"jumping, beating Minecraft super flat, beating Minecraft with only leather armor and wooden tools,",en,0.0,neu,1.0
68.0,73.12,SPEAKER_00,"beating Minecraft without eating, and beating Minecraft half size. If you like those videos,",en,0.0,neu,1.0
73.12,78.72,SPEAKER_00,"please subscribe. When I got to the Nether, I searched for a blaze and an Ender Man.",en,0.0,neu,1.0
79.36,86.88,SPEAKER_00,"When I got the blaze, I got back to the Overworld. But it doesn't create if you don't have the",en,0.0,neu,1.0
86.88,91.28,SPEAKER_00,"tube, I do grafting boxing inventory, I took an eye of Ender out of the creative menu,",en,0.0,neu,1.0
91.28,99.28,SPEAKER_00,"and then, when searching for the stronghold.",en,0.0,neu,1.0
108.72,125.52,SPEAKER_00,"When I found the strong, I decided to dig down.",en,0.0,neu,1.0
139.52,161.52,SPEAKER_00,"And I found the portal, I immediately fill it up and went to the end.",en,0.0,neu,0.9938
161.92,170.16,SPEAKER_00,"When I got into the end, the first thing I did was destroy all the crystals. After that,",en,0.0,neu,1.0
170.16,175.2,SPEAKER_00,"I only needed to take out the dragon. And to be honest, with a golden sword, this takes longer than I",en,0.0,neu,1.0
175.2,189.24,SPEAKER_00,thought.,en,0.0,neu,1.0
295.2,317.96,SPEAKER_00,"But in the end, I was able to accomplish this challenge and beat Minecraft in creative.",en,0.0,neu,1.0
317.96,319.88,SPEAKER_00,Then I want to thank you guys for watching.,en,0.0,neu,1.0
319.88,324.12,SPEAKER_00,"If you like this video, please like, subscribe and as I always say, kicks out.",en,0.0,neu,1.0
